# id	frame_representation	grouping	reference	reference_mode	update_policy	frame_fusion	token_merging
pairwise_ofa_00_baseline	global_pool	serial	first	participates	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_01_rep_cluster	cluster_center	serial	first	participates	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_02_rep_spatial	spatial_grid	serial	first	participates	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_03_group_parallel	global_pool	parallel	first	participates	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_04_ref_medoid	global_pool	serial	medoid	participates	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_05_ref_diverse	global_pool	serial	diverse	participates	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_06_ref_excluded	global_pool	serial	first	excluded	initial_only	direct_uniform	fast_bipartite
pairwise_ofa_07_update_stage	global_pool	serial	first	participates	stage_update	direct_uniform	fast_bipartite
pairwise_ofa_08_update_per_layer	global_pool	serial	first	participates	per_layer_update	direct_uniform	fast_bipartite
pairwise_ofa_09_fusion_similarity	global_pool	serial	first	participates	initial_only	direct_similarity	fast_bipartite
pairwise_ofa_10_fusion_tokenwise	global_pool	serial	first	participates	initial_only	token_wise	fast_bipartite
pairwise_ofa_11_token_proportional	global_pool	serial	first	participates	initial_only	direct_uniform	category_proportional
pairwise_ofa_12_token_dispersion	global_pool	serial	first	participates	initial_only	direct_uniform	category_dispersion
