# id	frame_representation	grouping	reference	reference_mode	update_policy	frame_fusion	token_merging
pairwise_ofa12_00_baseline	global_pool	serial	first	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_01_rep_cluster	cluster_center	serial	first	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_02_rep_spatial	spatial_grid	serial	first	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_03_group_parallel	global_pool	parallel	first	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_04_ref_medoid	global_pool	serial	medoid	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_05_ref_diverse	global_pool	serial	diverse	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_06_ref_excluded	global_pool	serial	first	excluded	per_layer_update	direct_similarity	fast_bipartite
pairwise_ofa12_07_update_initial	global_pool	serial	first	participates	initial_only	direct_similarity	fast_bipartite
pairwise_ofa12_08_update_stage	global_pool	serial	first	participates	stage_update	direct_similarity	fast_bipartite
pairwise_ofa12_09_fusion_uniform	global_pool	serial	first	participates	per_layer_update	direct_uniform	fast_bipartite
pairwise_ofa12_10_fusion_tokenwise	global_pool	serial	first	participates	per_layer_update	token_wise	fast_bipartite
pairwise_ofa12_11_token_proportional	global_pool	serial	first	participates	per_layer_update	direct_similarity	category_proportional
pairwise_ofa12_12_token_dispersion	global_pool	serial	first	participates	per_layer_update	direct_similarity	category_dispersion
