# id	frame_representation	grouping	reference	reference_mode	update_policy	frame_fusion	token_merging
pairwise_01	global_pool	serial	first	participates	initial_only	direct_uniform	fast_bipartite
pairwise_02	global_pool	parallel	medoid	excluded	stage_update	direct_similarity	category_proportional
pairwise_03	cluster_center	serial	diverse	excluded	per_layer_update	token_wise	category_dispersion
pairwise_04	spatial_grid	parallel	first	participates	stage_update	token_wise	category_dispersion
pairwise_05	cluster_center	parallel	medoid	participates	per_layer_update	direct_uniform	fast_bipartite
pairwise_06	spatial_grid	serial	diverse	participates	initial_only	direct_similarity	category_proportional
pairwise_07	spatial_grid	serial	diverse	excluded	stage_update	direct_uniform	fast_bipartite
pairwise_08	global_pool	serial	medoid	excluded	initial_only	token_wise	category_dispersion
pairwise_09	cluster_center	serial	first	excluded	per_layer_update	direct_similarity	category_proportional
pairwise_10	global_pool	parallel	diverse	participates	initial_only	direct_uniform	category_proportional
pairwise_11	spatial_grid	serial	medoid	participates	per_layer_update	direct_uniform	category_dispersion
pairwise_12	global_pool	serial	first	participates	per_layer_update	direct_similarity	fast_bipartite
pairwise_13	cluster_center	serial	first	participates	initial_only	direct_similarity	category_dispersion
pairwise_14	cluster_center	serial	first	participates	stage_update	token_wise	fast_bipartite
pairwise_15	global_pool	serial	first	participates	initial_only	token_wise	category_proportional
